Honeybees,Apis mellifera (Western honeybee)
Bumble bees (Bombus),Vancouver bumble bee (B. Vancouverensis)
Bumble bees (Bombus),Yellow-fronted bumble bee (B. flavirons)
Bumble bees (Bombus),Orange-rumped bumble bee (B. melanopygus)
Bumble bees (Bombus),Sitka bumble bee (B. sitkenskii)
Bumble bees (Bombus),Yellow-faced bumble bee (B. vosnesenskii)
Bumble bees (Bombus),Fuzzyhorned bumble bee (B. mixtus)
Bumble bees (Bombus),Hunt’s bumble bee (B. huntii)
Other bees ,Western leafcutter
Other bees ,nomad bees
Other bees ,blue orchard bees
Other bees ,metallic sweat bees
Other bees ,confusing furrow bee
Other bees ,European wool carder
Other bees ,Texas-striped sweat bee
Other bees ,tripartite sweat bee
Other bees ,Synhalonia
Other bees ,prunus miner
Other bees ,black-and-grey leaf cutter bee
Other bees ,ursine digger bee
Other bees ,Dianthidicum pudicum
Other bees ,spined little carpenter bee
Other bees ,small long-horned bee
Other bees ,blood bees
Other bees ,Trypoxylon
Other bees ,orange-legged furrow bee
Other bees ,perplexed miner bee
Other bees ,frigid mining bee
Other bees ,black-banded mining bee
Other bees ,tansy-mustard sweat bee
Other bees ,rival long-horned bee
Other bees ,meridional mason bee
Other bees ,horn-faced leafcutter bee
Other bees ,tiny small carpenter bee
Other bees ,pacific sweat bee
Other bees ,ashy digger bee
Other bees ,Prionyx canadensis
Other bees ,red-footed sharptail
Other bees ,Stigmus americanus
Hover flies (Syrphidae),Complex Dasysyrphus intrudens
Hover flies (Syrphidae),western pond fly
Hover flies (Syrphidae),variable duskyface fly
Hover flies (Syrphidae),orange-spotted drone fly
Hover flies (Syrphidae),bumble-bee catkin fly
Hover flies (Syrphidae),yellow-faced swiftwing
Hover flies (Syrphidae),common drone fly
Hover flies (Syrphidae),Western calligrapher
Hover flies (Syrphidae),Western aphideater
Hover flies (Syrphidae),dusky drone fly
Hover flies (Syrphidae),common hover fly
Hover flies (Syrphidae),thick-legged hover fly
Hover flies (Syrphidae),narrow headed marsh fly
Hover flies (Syrphidae),sedgesitters
Hover flies (Syrphidae),margined calligrapher
Hover flies (Syrphidae),large-tailed aphid eater
Hover flies (Syrphidae),American thintail fly
Hover flies (Syrphidae),Patton’s yellowjacket fly
Hover flies (Syrphidae),Coquillett’s bumble fly
Hover flies (Syrphidae),yellow-legged wood fly
Hover flies (Syrphidae),American dainty
Hover flies (Syrphidae),white-bowed smoothwing
Butterflies (Papilionoidea),Pale swallowtail
Butterflies (Papilionoidea),woodland skipper
Butterflies (Papilionoidea),juniper hairstreak
Butterflies (Papilionoidea),Propertius duskywing
Butterflies (Papilionoidea),echo azure
Butterflies (Papilionoidea),Western tiger swallowtail
Butterflies (Papilionoidea),painted lady
Butterflies (Papilionoidea),Julia orangetip
Butterflies (Papilionoidea),cabbage white
Butterflies (Papilionoidea),red admiral
Butterflies (Papilionoidea),satyr comma
Butterflies (Papilionoidea),mylitta crescent
Butterflies (Papilionoidea),Lorquin’s admiral
Butterflies (Papilionoidea),brown elfin
Butterflies (Papilionoidea),grey hairstreak
Butterflies (Papilionoidea),California tortoiseshell
Butterflies (Papilionoidea),anise swallowtail
Butterflies (Papilionoidea),mourning cloak
Butterflies (Papilionoidea),common roadside skipper
Butterflies (Papilionoidea),pine white
Wasps (Apoidea and Vespoidea),Yellow-legged mud-dauber
Wasps (Apoidea and Vespoidea),thread-waisted sand wasp
Wasps (Apoidea and Vespoidea),digger wasp
Other flies,Greater bee fly (Bombylius major)
Other flies,Gymnosoma
Other flies,Machimus
Other flies,Myopa rubida
Other flies,leaf miner fly
Beetles,Soldier beetles
Beetles,leaf beetles
Beetles,lady bugs
